,episode,eval_total_time,frame,time,env,seed,agent,utd_ratio,_step,env_step,episode_reward
151,0,0,0,0,cheetah-run,64238,VQ-TD3,1,26001.0,770000.0,816.6715825738862
152,0,0,0,0,cheetah-run,64238,VQ-TD3,1,26172.0,775000.0,901.2143201272935
153,0,0,0,0,cheetah-run,64238,VQ-TD3,1,26343.0,780000.0,894.689002012834
154,0,0,0,0,cheetah-run,64238,VQ-TD3,1,26514.0,785000.0,899.9359536085278
155,0,0,0,0,cheetah-run,64238,VQ-TD3,1,26685.0,790000.0,898.7087978955358
156,0,0,0,0,cheetah-run,64238,VQ-TD3,1,26856.0,795000.0,899.0416723042727
157,0,0,0,0,cheetah-run,64238,VQ-TD3,1,27027.0,800000.0,903.7595720887184
158,0,0,0,0,cheetah-run,64238,VQ-TD3,1,27198.0,805000.0,904.2913544300943
159,0,0,0,0,cheetah-run,64238,VQ-TD3,1,27369.0,810000.0,900.1160801831633
160,0,0,0,0,cheetah-run,64238,VQ-TD3,1,27540.0,815000.0,900.5199573468417
161,0,0,0,0,cheetah-run,64238,VQ-TD3,1,27711.0,820000.0,903.1313935667276
162,0,0,0,0,cheetah-run,64238,VQ-TD3,1,27882.0,825000.0,769.0327360393858
163,0,0,0,0,cheetah-run,64238,VQ-TD3,1,28053.0,830000.0,904.738959865272
164,0,0,0,0,cheetah-run,64238,VQ-TD3,1,28224.0,835000.0,905.824532872811
165,0,0,0,0,cheetah-run,64238,VQ-TD3,1,28395.0,840000.0,330.07917152666676
166,0,0,0,0,cheetah-run,64238,VQ-TD3,1,28566.0,845000.0,897.816583333537
167,0,0,0,0,cheetah-run,64238,VQ-TD3,1,28737.0,850000.0,903.3317478153855
168,0,0,0,0,cheetah-run,64238,VQ-TD3,1,28908.0,855000.0,903.1288768298924
169,0,0,0,0,cheetah-run,64238,VQ-TD3,1,29079.0,860000.0,906.7959706351161
170,0,0,0,0,cheetah-run,64238,VQ-TD3,1,29250.0,865000.0,907.2631221558898
171,0,0,0,0,cheetah-run,64238,VQ-TD3,1,29421.0,870000.0,903.5524162366986
172,0,0,0,0,cheetah-run,64238,VQ-TD3,1,29592.0,875000.0,907.3041845131665
173,0,0,0,0,cheetah-run,64238,VQ-TD3,1,29763.0,880000.0,908.7512919757515
174,0,0,0,0,cheetah-run,64238,VQ-TD3,1,29934.0,885000.0,900.7235083874315
175,0,0,0,0,cheetah-run,64238,VQ-TD3,1,30105.0,890000.0,904.9773670632392
176,0,0,0,0,cheetah-run,64238,VQ-TD3,1,30276.0,895000.0,901.557769806683
177,0,0,0,0,cheetah-run,64238,VQ-TD3,1,30447.0,900000.0,902.9651027068496
178,0,0,0,0,cheetah-run,64238,VQ-TD3,1,30618.0,905000.0,852.3841179186536
179,0,0,0,0,cheetah-run,64238,VQ-TD3,1,30789.0,910000.0,909.4032461851835
180,0,0,0,0,cheetah-run,64238,VQ-TD3,1,30960.0,915000.0,908.5182280976326
181,0,0,0,0,cheetah-run,64238,VQ-TD3,1,31131.0,920000.0,906.9130140073597
0,0,0,0,0,cheetah-run,234,VQ-TD3,1,180.0,15000.0,1.2090725315479176
1,0,0,0,0,cheetah-run,234,VQ-TD3,1,351.0,20000.0,1.2270532598302466
2,0,0,0,0,cheetah-run,234,VQ-TD3,1,522.0,25000.0,130.9382905571445
3,0,0,0,0,cheetah-run,234,VQ-TD3,1,693.0,30000.0,71.8560239002284
4,0,0,0,0,cheetah-run,234,VQ-TD3,1,864.0,35000.0,74.06321260474931
5,0,0,0,0,cheetah-run,234,VQ-TD3,1,1035.0,40000.0,110.54804799057408
6,0,0,0,0,cheetah-run,234,VQ-TD3,1,1206.0,45000.0,223.0698701929301
7,0,0,0,0,cheetah-run,234,VQ-TD3,1,1377.0,50000.0,270.55520633924755
8,0,0,0,0,cheetah-run,234,VQ-TD3,1,1548.0,55000.0,323.27768089203164
9,0,0,0,0,cheetah-run,234,VQ-TD3,1,1719.0,60000.0,323.3367333408445
10,0,0,0,0,cheetah-run,234,VQ-TD3,1,1890.0,65000.0,339.2030482776463
11,0,0,0,0,cheetah-run,234,VQ-TD3,1,2061.0,70000.0,381.4298688869923
12,0,0,0,0,cheetah-run,234,VQ-TD3,1,2232.0,75000.0,433.8626430738717
13,0,0,0,0,cheetah-run,234,VQ-TD3,1,2403.0,80000.0,461.9232143931091
14,0,0,0,0,cheetah-run,234,VQ-TD3,1,2574.0,85000.0,499.93168064747005
15,0,0,0,0,cheetah-run,234,VQ-TD3,1,2745.0,90000.0,520.1195867218078
16,0,0,0,0,cheetah-run,234,VQ-TD3,1,2916.0,95000.0,552.3758427426219
17,0,0,0,0,cheetah-run,234,VQ-TD3,1,3087.0,100000.0,555.4233374746516
18,0,0,0,0,cheetah-run,234,VQ-TD3,1,3258.0,105000.0,589.3287702225149
19,0,0,0,0,cheetah-run,234,VQ-TD3,1,3429.0,110000.0,576.3312836078927
20,0,0,0,0,cheetah-run,234,VQ-TD3,1,3600.0,115000.0,594.9091802235693
21,0,0,0,0,cheetah-run,234,VQ-TD3,1,3771.0,120000.0,604.6184152400122
22,0,0,0,0,cheetah-run,234,VQ-TD3,1,3942.0,125000.0,608.4377539958805
23,0,0,0,0,cheetah-run,234,VQ-TD3,1,4113.0,130000.0,616.3188751790673
24,0,0,0,0,cheetah-run,234,VQ-TD3,1,4284.0,135000.0,632.389880573377
25,0,0,0,0,cheetah-run,234,VQ-TD3,1,4455.0,140000.0,657.1730389109813
26,0,0,0,0,cheetah-run,234,VQ-TD3,1,4626.0,145000.0,649.2789228912443
27,0,0,0,0,cheetah-run,234,VQ-TD3,1,4797.0,150000.0,662.2993026606739
28,0,0,0,0,cheetah-run,234,VQ-TD3,1,4968.0,155000.0,674.2002932608127
29,0,0,0,0,cheetah-run,234,VQ-TD3,1,5139.0,160000.0,680.7067024406045
30,0,0,0,0,cheetah-run,234,VQ-TD3,1,5310.0,165000.0,674.255290858075
31,0,0,0,0,cheetah-run,234,VQ-TD3,1,5481.0,170000.0,669.796458250843
32,0,0,0,0,cheetah-run,234,VQ-TD3,1,5652.0,175000.0,702.380978383869
33,0,0,0,0,cheetah-run,234,VQ-TD3,1,5823.0,180000.0,680.268213718012
34,0,0,0,0,cheetah-run,234,VQ-TD3,1,5994.0,185000.0,700.2662078937516
35,0,0,0,0,cheetah-run,234,VQ-TD3,1,6165.0,190000.0,693.9711458506063
36,0,0,0,0,cheetah-run,234,VQ-TD3,1,6336.0,195000.0,704.7101977057755
37,0,0,0,0,cheetah-run,234,VQ-TD3,1,6507.0,200000.0,710.956861225143
38,0,0,0,0,cheetah-run,234,VQ-TD3,1,6678.0,205000.0,700.8472205929459
39,0,0,0,0,cheetah-run,234,VQ-TD3,1,6849.0,210000.0,731.0013780489564
40,0,0,0,0,cheetah-run,234,VQ-TD3,1,7020.0,215000.0,723.3596585148946
41,0,0,0,0,cheetah-run,234,VQ-TD3,1,7191.0,220000.0,737.3064204124734
42,0,0,0,0,cheetah-run,234,VQ-TD3,1,7362.0,225000.0,737.7567031223327
43,0,0,0,0,cheetah-run,234,VQ-TD3,1,7533.0,230000.0,738.9664328666404
44,0,0,0,0,cheetah-run,234,VQ-TD3,1,7704.0,235000.0,742.2739755365998
45,0,0,0,0,cheetah-run,234,VQ-TD3,1,7875.0,240000.0,743.6554153759032
46,0,0,0,0,cheetah-run,234,VQ-TD3,1,8046.0,245000.0,739.8330974183976
47,0,0,0,0,cheetah-run,234,VQ-TD3,1,8217.0,250000.0,743.6298840008676
48,0,0,0,0,cheetah-run,234,VQ-TD3,1,8388.0,255000.0,741.783228575252
49,0,0,0,0,cheetah-run,234,VQ-TD3,1,8559.0,260000.0,746.3468723716214
50,0,0,0,0,cheetah-run,234,VQ-TD3,1,8730.0,265000.0,752.7155429620295
51,0,0,0,0,cheetah-run,234,VQ-TD3,1,8901.0,270000.0,754.7129777491093
52,0,0,0,0,cheetah-run,234,VQ-TD3,1,9072.0,275000.0,758.1137916017324
53,0,0,0,0,cheetah-run,234,VQ-TD3,1,9243.0,280000.0,721.8251128502073
54,0,0,0,0,cheetah-run,234,VQ-TD3,1,9414.0,285000.0,762.4275606215
55,0,0,0,0,cheetah-run,234,VQ-TD3,1,9585.0,290000.0,765.4528929054737
56,0,0,0,0,cheetah-run,234,VQ-TD3,1,9756.0,295000.0,765.2308060251177
57,0,0,0,0,cheetah-run,234,VQ-TD3,1,9927.0,300000.0,771.1757153579965
58,0,0,0,0,cheetah-run,234,VQ-TD3,1,10098.0,305000.0,773.031261973083
59,0,0,0,0,cheetah-run,234,VQ-TD3,1,10269.0,310000.0,704.6130273624551
60,0,0,0,0,cheetah-run,234,VQ-TD3,1,10440.0,315000.0,784.2333038948476
61,0,0,0,0,cheetah-run,234,VQ-TD3,1,10611.0,320000.0,779.8764563448727
62,0,0,0,0,cheetah-run,234,VQ-TD3,1,10782.0,325000.0,712.6569884872014
63,0,0,0,0,cheetah-run,234,VQ-TD3,1,10953.0,330000.0,772.8808224886656
64,0,0,0,0,cheetah-run,234,VQ-TD3,1,11124.0,335000.0,788.7420045403763
65,0,0,0,0,cheetah-run,234,VQ-TD3,1,11295.0,340000.0,786.3781845770776
66,0,0,0,0,cheetah-run,234,VQ-TD3,1,11466.0,345000.0,793.9646339438856
67,0,0,0,0,cheetah-run,234,VQ-TD3,1,11637.0,350000.0,798.3272961515934
68,0,0,0,0,cheetah-run,234,VQ-TD3,1,11808.0,355000.0,801.1790611350909
69,0,0,0,0,cheetah-run,234,VQ-TD3,1,11979.0,360000.0,795.3828406017274
70,0,0,0,0,cheetah-run,234,VQ-TD3,1,12150.0,365000.0,796.5754487197846
71,0,0,0,0,cheetah-run,234,VQ-TD3,1,12321.0,370000.0,794.705936970748
72,0,0,0,0,cheetah-run,234,VQ-TD3,1,12492.0,375000.0,795.4802320963703
73,0,0,0,0,cheetah-run,234,VQ-TD3,1,12663.0,380000.0,795.9931362969801
74,0,0,0,0,cheetah-run,234,VQ-TD3,1,12834.0,385000.0,806.4418262273073
75,0,0,0,0,cheetah-run,234,VQ-TD3,1,13005.0,390000.0,807.2223708190024
76,0,0,0,0,cheetah-run,234,VQ-TD3,1,13176.0,395000.0,811.1539085792377
77,0,0,0,0,cheetah-run,234,VQ-TD3,1,13347.0,400000.0,810.1306664068252
78,0,0,0,0,cheetah-run,234,VQ-TD3,1,13518.0,405000.0,814.0228560881224
79,0,0,0,0,cheetah-run,234,VQ-TD3,1,13689.0,410000.0,810.9954449296929
80,0,0,0,0,cheetah-run,234,VQ-TD3,1,13860.0,415000.0,711.6805627024718
81,0,0,0,0,cheetah-run,234,VQ-TD3,1,14031.0,420000.0,820.504477379471
82,0,0,0,0,cheetah-run,234,VQ-TD3,1,14202.0,425000.0,821.3711557559669
83,0,0,0,0,cheetah-run,234,VQ-TD3,1,14373.0,430000.0,817.6093096300959
84,0,0,0,0,cheetah-run,234,VQ-TD3,1,14544.0,435000.0,801.6481186505407
85,0,0,0,0,cheetah-run,234,VQ-TD3,1,14715.0,440000.0,731.1607308784521
86,0,0,0,0,cheetah-run,234,VQ-TD3,1,14886.0,445000.0,823.6394380412996
87,0,0,0,0,cheetah-run,234,VQ-TD3,1,15057.0,450000.0,830.0563537884503
88,0,0,0,0,cheetah-run,234,VQ-TD3,1,15228.0,455000.0,822.6578946299851
89,0,0,0,0,cheetah-run,234,VQ-TD3,1,15399.0,460000.0,825.04685291145
90,0,0,0,0,cheetah-run,234,VQ-TD3,1,15570.0,465000.0,838.0630771876313
91,0,0,0,0,cheetah-run,234,VQ-TD3,1,15741.0,470000.0,837.1424243119545
92,0,0,0,0,cheetah-run,234,VQ-TD3,1,15912.0,475000.0,832.4609134359285
93,0,0,0,0,cheetah-run,234,VQ-TD3,1,16083.0,480000.0,833.7309945092536
94,0,0,0,0,cheetah-run,234,VQ-TD3,1,16254.0,485000.0,836.1965916756541
95,0,0,0,0,cheetah-run,234,VQ-TD3,1,16425.0,490000.0,837.3371635518968
96,0,0,0,0,cheetah-run,234,VQ-TD3,1,16596.0,495000.0,844.2032842276618
97,0,0,0,0,cheetah-run,234,VQ-TD3,1,16767.0,500000.0,848.942105306033
98,0,0,0,0,cheetah-run,234,VQ-TD3,1,16938.0,505000.0,851.004413467925
99,0,0,0,0,cheetah-run,234,VQ-TD3,1,17109.0,510000.0,850.3541507828049
100,0,0,0,0,cheetah-run,234,VQ-TD3,1,17280.0,515000.0,856.7157295665704
101,0,0,0,0,cheetah-run,234,VQ-TD3,1,17451.0,520000.0,855.6321166615933
102,0,0,0,0,cheetah-run,234,VQ-TD3,1,17622.0,525000.0,856.7888332553208
103,0,0,0,0,cheetah-run,234,VQ-TD3,1,17793.0,530000.0,860.9369481958449
104,0,0,0,0,cheetah-run,234,VQ-TD3,1,17964.0,535000.0,858.7357856748625
105,0,0,0,0,cheetah-run,234,VQ-TD3,1,18135.0,540000.0,864.347646802105
106,0,0,0,0,cheetah-run,234,VQ-TD3,1,18306.0,545000.0,858.4602928873152
107,0,0,0,0,cheetah-run,234,VQ-TD3,1,18477.0,550000.0,859.4328652913682
108,0,0,0,0,cheetah-run,234,VQ-TD3,1,18648.0,555000.0,866.9953400753438
